rank,word,entropy_bits,expected_remaining
1,TRACE,5.9894,15.54
2,SLATE,5.9492,16.38
3,SNARE,5.9325,15.17
4,ARISE,5.9304,14.27
5,ALERT,5.9214,16.18
6,CRANE,5.9129,16.94
7,IRATE,5.8828,14.64
8,TRADE,5.8304,17.08
9,STALE,5.8175,17.52
10,ALTER,5.7164,17.52
11,STORE,5.6953,19.38
12,LEARN,5.6857,19.33
13,ALONE,5.6792,18.87
14,ROAST,5.6749,19.78
15,TRAIN,5.6611,20.51
16,LATER,5.6573,18.65
17,SPARE,5.643,21.22
18,TRAIL,5.6399,18.83
19,ATONE,5.638,18.93
20,HEART,5.6359,21.97
21,SCALE,5.6288,20.73
22,LASER,5.6212,18.58
23,SIREN,5.599,20.52
24,CREST,5.5976,22.5
25,CLEAR,5.5957,21.4
26,CADRE,5.5943,21.51
27,GLARE,5.5928,21.44
28,ADORE,5.5522,20.68
29,FLARE,5.5519,21.79
30,SAINT,5.5499,23.98
31,LANCE,5.5467,22.49
32,TRIAL,5.5423,20.71
33,STERN,5.526,22.2
34,SCORE,5.5206,22.19
35,SLICE,5.5148,24.4
36,GREAT,5.5108,22.57
37,SPATE,5.5069,23.55
38,GRACE,5.5043,23.33
39,STONE,5.4932,22.36
40,ENACT,5.47,23.95
41,CAUSE,5.4688,23.12
42,SHORE,5.457,23.73
43,PEARL,5.4533,23.63
44,CLOSE,5.4493,25.07
45,ROUTE,5.4472,23.43
46,COAST,5.4412,25.59
47,NOISE,5.4335,23.12
48,CLEAN,5.4312,26.09
49,SOLAR,5.43,23.13
50,CLONE,5.4094,26.07
51,PLACE,5.4067,27.04
52,LARGE,5.3971,23.4
53,TREND,5.3932,25.3
54,FEAST,5.3891,27.33
55,PROSE,5.3863,26.34
56,LEAPT,5.385,24.91
57,NURSE,5.3796,24.05
58,SLIDE,5.3773,25.64
59,RISEN,5.3732,23.53
60,RANGE,5.3639,24.67
61,AVERT,5.3637,23.48
62,PRONE,5.3593,25.88
63,TIRED,5.358,25.03
64,FARCE,5.3559,25.39
65,EARTH,5.3505,24.53
66,CHASE,5.348,27.12
67,TABLE,5.3413,25.04
68,GRANT,5.3405,27.14
69,SMART,5.3364,28.17
70,DANCE,5.3345,26.2
71,SINCE,5.3332,26.62
72,HASTE,5.3296,25.19
73,YEARN,5.3226,25.07
74,GRADE,5.321,26.4
75,CAPER,5.3188,26.47
76,STEAD,5.3169,26.07
77,DRAIN,5.3115,27.96
78,TROVE,5.3101,26.02
79,TALON,5.3074,25.76
80,TERSE,5.3035,28.26
81,ACUTE,5.3026,23.9
82,STAVE,5.3,25.06
83,ONSET,5.2874,26.95
